fname,lname,name,citizen,village,sex,age,yob,dthmdy,deathtime,ddthtime,dthmondd,deathdate,deathnote,deathclsnt,deathtype,deathhgtm,deathclass,ams,weather,msuccess,o2used,o2none,myear,mseason,yearseas,msmtbid,msmtterm,expldr,hired,sherpa,tibetan,expid,membid,peakid,host,deathrte,route1,route2,agency,agntid,peakexps,peakabvbc,peaksmts,allexps,allabvbc,allsmts,highexps,highabvbc,highsmts,maxhighpt,maxpeakid
Harsh Vardhan,Bahuguna,Harsh Vardhan Bahuguna,India,,M,32,,18-Apr-71,18:00,18,18-Apr,4/18/71,Exposure/Frostbite (6800m)(w),Route preparation,3,6800,3,0,1,0,0,1,1971,1,1971 Spr,No summit bid,Route/Camp Preparation or Fixing Rope,"Switzerland (Norman Dyhrenfurth, J. O. M. Roberts)",0,0,0,EVER-711-01,4,EVER,Nepal,1,W Cwm-W Ridge (to 7300m),,,,1,1,0,2,2,1,1,1,0,8600,EVER
Tony,Tighe,Tony Tighe,Australia,,M,0,,16-Nov-72,13:00,13,16-Nov,11/16/72,Icefall Collapse (5900m),Expedition evacuation,6,5900,6,0,0,0,0,1,1972,3,1972 Aut,No summit bid,Did Not Climb or Intend to Smt,UK (Chris Bonington),0,0,0,EVER-723-01,11,EVER,Nepal,1,SW Face,,,,0,0,0,0,0,0,0,0,0,0,
Jangbu,Sherpa,Jangbu Sherpa (Namche Bazar),Nepal, (Namche Bazar),M,28,,12-Oct-73,,0,12-Oct,10/12/73,Avalanche (6900m)(w),Route preparation,7,6900,3,0,1,0,0,1,1973,3,1973 Aut,No summit bid,Accident (Death or Injury to Self or Others),Japan (Michio Yuasa),1,1,0,EVER-733-01,50,EVER,Nepal,2,SW Face (to 8380m),,,,0,0,0,0,0,0,0,0,0,0,
Gerard,Devouassoux,Gerard Devouassoux,France,,M,34,1940,9-Sep-74,19:10,19.17,9-Sep,9/9/74,Avalanche (6400m),Route preparation,7,6400,3,0,0,0,0,1,1974,3,1974 Aut,No summit bid,Accident (Death or Injury to Self or Others),France (Gerard Devouassoux),0,0,0,EVER-743-01,1,EVER,Nepal,1,Lho La-W Ridge,,,,0,0,0,1,1,1,0,0,0,7219,ANNS
Lhakpa,Sherpa,Lhakpa Sherpa (Dolakha),Nepal, (Dolakha),M,0,,9-Sep-74,19:10,19.17,9-Sep,9/9/74,Avalanche (6400m),Route preparation,7,6400,3,0,0,0,0,1,1974,3,1974 Aut,No summit bid,Accident (Death or Injury to Self or Others),France (Gerard Devouassoux),1,1,0,EVER-743-01,12,EVER,Nepal,1,Lho La-W Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Nawang Lotuk,Sherpa,Nawang Lotuk Sherpa (Thami),Nepal, (Thami),M,0,,9-Sep-74,19:10,19.17,9-Sep,9/9/74,Avalanche (6400m),Route preparation,7,6400,3,0,0,0,0,1,1974,3,1974 Aut,No summit bid,Accident (Death or Injury to Self or Others),France (Gerard Devouassoux),1,1,0,EVER-743-01,13,EVER,Nepal,1,Lho La-W Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Nima Wangchu,Sherpa,Nima Wangchu Sherpa (Thami),Nepal, (Thami),M,0,,9-Sep-74,19:10,19.17,9-Sep,9/9/74,Avalanche (5800m),Route preparation,7,5800,3,0,0,0,0,1,1974,3,1974 Aut,No summit bid,Accident (Death or Injury to Self or Others),France (Gerard Devouassoux),1,1,0,EVER-743-01,14,EVER,Nepal,1,Lho La-W Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Pemba Dorje,Sherpa,Pemba Dorje Sherpa (Namche Bazar),Nepal, (Namche Bazar),M,24,,9-Sep-74,19:10,19.17,9-Sep,9/9/74,Avalanche (6400m),Route preparation,7,6400,3,0,0,0,0,1,1974,3,1974 Aut,No summit bid,Accident (Death or Injury to Self or Others),France (Gerard Devouassoux),1,1,0,EVER-743-01,15,EVER,Nepal,1,Lho La-W Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Sanu Wangel,Sherpa,Sanu Wangel Sherpa (Taksindu),Nepal, (Taksindu),M,0,,9-Sep-74,19:10,19.17,9-Sep,9/9/74,Avalanche (6400m),Route preparation,7,6400,3,0,0,0,0,1,1974,3,1974 Aut,No summit bid,Accident (Death or Injury to Self or Others),France (Gerard Devouassoux),1,1,0,EVER-743-01,16,EVER,Nepal,1,Lho La-W Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Zong-Yue,Guo,Zong-Yue Guo,China,,M,0,,4-May-75,,0,4-May,5/4/75,Fall (8100m),Route preparation,4,8100,3,0,0,0,1,0,1975,1,1975 Spr,No summit bid,Route/Camp Preparation or Fixing Rope,China (Shi Zhang-Chun),0,0,0,EVER-751-02,27,EVER,China,1,N Col-NE Ridge,,,,1,1,0,1,1,0,1,1,0,8500,EVER
